Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category
SRI PULAI,KULAI,JOHOR,1.5519428128906536,103.64959145975004,5133,4d81e960d95df04d60e54bbc,Ally Restaurant,1.5449334913179296,103.65512736116764,994,4bf58dd8d48988d149941735,Thai Restaurant
GELANG PATAH UTARA,GELANG PATAH,JOHOR,1.4631827298936482,103.58356237682982,5381,534a8f63498ef8bcabafada6,Restoran Fasila Tomyam,1.4670592203506705,103.57918786077991,650,4bf58dd8d48988d149941735,Thai Restaurant
GELANG PATAH UTARA,GELANG PATAH,JOHOR,1.4631827298936482,103.58356237682982,5381,4ea9888a0aaff9d3d588a2ef,Restoran Tajri,1.4553134768592515,103.58238554454569,885,4bf58dd8d48988d149941735,Thai Restaurant
GELANG PATAH UTARA,GELANG PATAH,JOHOR,1.4631827298936482,103.58356237682982,5381,4eba89f66c259b4ac409b0fb,De FRESH Sea Food,1.4661397201188948,103.57965840464388,545,4bf58dd8d48988d149941735,Thai Restaurant
GELANG PATAH UTARA,GELANG PATAH,JOHOR,1.4631827298936482,103.58356237682982,5381,54709de4498e7612e19da225,De Fresh (Restoran Ala Thai),1.4660723698994804,103.57960580128264,545,4bf58dd8d48988d149941735,Thai Restaurant
KEMULIAAN,GELANG PATAH,JOHOR,1.5287222044516495,103.62273869148392,3727,5344242d498e1ea744d44883,Restoran Bamboo,1.5212033618432674,103.62728695618857,978,4bf58dd8d48988d149941735,Thai Restaurant
LEMBAH KEMPAS,PULAI,JOHOR,1.5287676678750333,103.71172800968758,2889,4ca48fe76bb1b7139cef8869,Restoran Mutiara Nara,1.5310711376547523,103.71841641842026,787,4bf58dd8d48988d149941735,Thai Restaurant
NAKHODA TUTA,GELANG PATAH,JOHOR,1.5169394391064122,103.67070488372349,4601,544a38aa498e317ec4b0106e,Amphawa Boat Noodle,1.515091574518924,103.66770933094635,391,4bf58dd8d48988d149941735,Thai Restaurant
NAKHODA TUTA,GELANG PATAH,JOHOR,1.5169394391064122,103.67070488372349,4601,5141beace4b08c91f8a0ffe8,Bangkok Village,1.514390230178833,103.6690444946289,338,4bf58dd8d48988d149941735,Thai Restaurant
TERATAI,PASIR GUDANG,JOHOR,1.5603007036316108,103.61995987021056,2006,4d5a502a24466ea8345b809f,Restoran Tomyam Ainoni,1.5620114956043885,103.61379001590531,712,4bf58dd8d48988d149941735,Thai Restaurant
