Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category,Clus_Db
ABAD JAYA 2,JOHOR BAHRU,JOHOR,1.4864706860322894,103.75664096500005,1842,529c1aa111d2f2ca50d91eb0,Restoran Thong Yen 唐人菜馆,1.4904219007201156,103.76307251884884,840.0,4bf58dd8d48988d142941735,Asian Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4fdad8d4e4b049d373083ee6,Awana Asian Kitchen,1.5613075045125762,103.80745608410689,487.0,4bf58dd8d48988d142941735,Asian Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,584bebe6d439075d5518820e,Restoran Pekin KK 北京楼,1.5598813616886855,103.81140214196958,667.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4cf5848bd3a8a1cd4917cc43,列光茶室,1.5656729013359258,103.8142586162224,581.0,4bf58dd8d48988d142941735,Asian Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,5194d48e498eb341498af8ae,Wan Fu Restaurant 万福楼,1.5634877666860307,103.80099805013668,919.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4d1d8296756e8cfad1245054,Indonesian Corner Fast Food,1.56174940920174,103.80693511822923,468.0,4bf58dd8d48988d142941735,Asian Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4d4fd3a9dcce224b7d7ed11b,Majestic Scene Restaurant 美景冷气酒家,1.5613029652329364,103.8075117726618,486.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4ca8120eb0b8236a783db0e6,Restoran Ah Siang 亚祥好味烧腊,1.5609351470182649,103.80789163883081,512.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4d19bbf881cea35de51ef7ec,富山美食中心,1.5606070342792686,103.80766556936264,554.0,4bf58dd8d48988d142941735,Asian Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,5489034b498e796e10d70949,99兴美食阁,1.5603192128128882,103.80927780821236,565.0,4bf58dd8d48988d142941735,Asian Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4dd9e91a52b1a5c644889cd4,明春经济饭,1.566023,103.814394,600.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,50ebc9c7e4b0000d015d92f7,Top Chef Restaurant 大团圆海鲜楼,1.5600399999999999,103.808183,603.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,56723d07498e9b15d140b708,we we kopitiam,1.5594151512624417,103.80958962107327,668.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,5374ab35498e73c5f59d806b,Da Bin Lo Steamboat 打甂炉,1.5684696597762382,103.80186283738249,868.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4fcded5ce4b0083fcc627ff2,Kah Kah Loke 佳佳乐苦瓜汤,1.5687916812442697,103.80280105816654,790.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.7595247002084,1236,5de20e1ebc72980008353138,Kedai Makan Nasi Ayam KEE CHUP,1.4613639999999999,103.76110200000001,488.0,4bf58dd8d48988d142941735,Asian Restaurant,0
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.7595247002084,1236,4d0185d794c5b1f7fc6a52de,Warong Teh Sarbat Asli,1.4711521320817835,103.75613947652764,736.0,4bf58dd8d48988d142941735,Asian Restaurant,0
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.7595247002084,1236,4c233fbe13c00f4778ac88de,Kai Xuan Chinese Restaurant 凯旋,1.4606238384945105,103.76222897606407,616.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.7595247002084,1236,4c70e1e3b5a5236ab3b25152,Kam Long Curry Fish Head 金龙咖哩鱼头,1.4592460942997163,103.76478162779553,906.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.7595247002084,1236,57aabb5f498e9672988d4ce6,Souper Tang 湯師父,1.4619159523081169,103.76388870635023,625.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.7595247002084,1236,4cba8704adcd548133e523a2,Restoran Shang Ji 上记,1.4611038073842997,103.76738437776231,1000.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
